project_id_P,project_name,departments_department_id,start_year
882,Project Delta 237,320,2021
883,Project Delta 599,783,2011
884,Project Epsilon 791,503,2020
885,Project Epsilon 801,553,2019
886,Project Delta 587,576,2023
887,Project Beta 618,58,2016
888,Project Gamma 606,606,2016
889,Project Epsilon 792,362,2022
890,Project Gamma 428,63,2010
891,Project Epsilon 146,132,2023
892,Project Gamma 457,829,2021
893,Project Epsilon 127,784,2020
894,Project Gamma 489,100,2016
895,Project Gamma 465,422,2015
896,Project Alpha 777,251,2013
897,Project Beta 763,320,2019
898,Project Alpha 804,68,2023
899,Project Gamma 217,346,2012
900,Project Alpha 651,334,2010
901,Project Delta 773,885,2016
902,Project Epsilon 627,924,2016
903,Project Gamma 120,713,2017
904,Project Epsilon 122,325,2016
905,Project Epsilon 499,331,2019
906,Project Alpha 927,501,2011
907,Project Zeta 791,211,2015
908,Project Delta 614,831,2022
909,Project Zeta 447,171,2019
910,Project Gamma 472,993,2016
911,Project Beta 608,651,2023
912,Project Alpha 960,871,2018
913,Project Beta 394,272,2010
914,Project Gamma 687,412,2022
915,Project Beta 739,761,2011
916,Project Zeta 964,593,2011
917,Project Epsilon 444,280,2011
918,Project Epsilon 920,544,2017
919,Project Delta 314,356,2022
920,Project Alpha 767,844,2014
921,Project Epsilon 923,308,2016
922,Project Zeta 652,321,2013
923,Project Delta 511,258,2019
924,Project Epsilon 564,688,2022
925,Project Epsilon 284,903,2010
926,Project Zeta 820,529,2023
927,Project Beta 690,512,2013
928,Project Zeta 943,761,2017
929,Project Gamma 753,546,2022
930,Project Epsilon 973,788,2016
931,Project Epsilon 844,642,2010
932,Project Epsilon 305,374,2017
933,Project Beta 346,155,2021
934,Project Zeta 883,308,2023
935,Project Delta 520,327,2023
936,Project Alpha 749,209,2023
937,Project Delta 373,844,2014
938,Project Zeta 264,263,2020
939,Project Epsilon 341,416,2013
940,Project Alpha 253,197,2010
941,Project Beta 916,848,2014
942,Project Delta 597,574,2016
943,Project Delta 762,928,2010
944,Project Beta 263,280,2012
945,Project Alpha 364,809,2022
946,Project Gamma 774,564,2012
947,Project Zeta 972,44,2021
948,Project Delta 901,21,2010
949,Project Alpha 421,617,2014
950,Project Alpha 516,919,2015
951,Project Zeta 773,907,2011
952,Project Delta 959,742,2023
953,Project Beta 341,115,2019
954,Project Zeta 612,956,2011
955,Project Epsilon 780,849,2019
956,Project Epsilon 357,509,2011
957,Project Beta 714,126,2022
958,Project Gamma 437,853,2019
959,Project Zeta 499,826,2021
960,Project Zeta 341,958,2016
961,Project Beta 247,110,2012
962,Project Beta 381,451,2016
963,Project Gamma 983,604,2010
964,Project Delta 646,384,2021
965,Project Alpha 424,559,2016
966,Project Delta 799,253,2014
967,Project Beta 471,487,2021
968,Project Gamma 941,316,2010
969,Project Zeta 720,36,2023
970,Project Zeta 778,819,2010
971,Project Zeta 907,688,2013
972,Project Gamma 665,394,2014
973,Project Zeta 817,372,2022
974,Project Zeta 224,548,2023
975,Project Beta 978,454,2016
976,Project Alpha 502,950,2014
977,Project Gamma 192,959,2023
978,Project Beta 404,216,2023
979,Project Beta 549,647,2015
980,Project Zeta 516,809,2010
981,Project Gamma 987,83,2023
982,Project Delta 582,755,2016
983,Project Gamma 834,433,2023
984,Project Alpha 944,165,2021
985,Project Gamma 618,68,2015
986,Project Delta 716,747,2023
987,Project Epsilon 855,335,2017
988,Project Zeta 128,781,2010
989,Project Zeta 756,189,2020
990,Project Delta 910,657,2012
991,Project Alpha 510,205,2020
992,Project Gamma 421,590,2011
993,Project Alpha 261,256,2018
994,Project Zeta 886,851,2020
995,Project Beta 967,609,2020
996,Project Delta 911,962,2015
997,Project Delta 589,895,2021
998,Project Beta 366,178,2020
999,Project Epsilon 946,336,2022
1000,Project Gamma 303,87,2016
